"NO2" "type" "fluidite"
"1" 378.944 "P" "A"
"2" 806.6694 "T" "D"
"3" 634.5784 "A" "D"
"4" 673.3514 "T" "C"
"5" 589.7507 "P" "A"
"6" 445.6985 "V" "D"
"7" 382.8022 "A" "D"
"8" 325.8651 "U" "D"
"9" 194.9919 "U" "D"
"10" 203.6442 "P" "A"
"11" 216.0019 "A" "D"
"12" 345.6527 "P" "D"
"13" 275.5366 "P" "D"
"14" 246.3709 "V" "D"
"15" 269.5583 "U" "B"
"16" 356.7498 "U" "A"
"17" 262.3576 "P" "C"
"18" 516.0629 "T" "B"
"19" 248.9685 "A" "B"
"20" 190.2742 "A" "D"
"21" 185.56414 "T" "A"
"22" 207.4833 "P" "C"
"23" 149.17864 "V" "A"
"24" 211.4561 "U" "D"
"25" 119.03884 "U" "A"
"26" 137.47798 "U" "A"
"27" 13.400369 "U" "D"
"28" 81.4806 "P" "A"
"29" 87.13611 "A" "A"
"30" 102.185 "P" "C"
"31" 137.4818 "P" "D"
"32" 16.536589 "V" "A"
"33" 68.08195 "U" "C"
"34" 199.8815 "P" "B"
"35" 495.1102 "T" "C"
"36" 243.8306 "A" "D"
"37" 197.7805 "A" "C"
"38" 237.2793 "T" "C"
"39" 220.7387 "P" "A"
"40" 257.1815 "V" "A"
"41" 257.6781 "A" "B"
"42" 285.5068 "A" "B"
"43" 206.6047 "U" "B"
"44" 323.8596 "U" "D"
"45" 173.53687 "U" "A"
"46" 356.1195 "P" "C"
"47" 390.1366 "A" "B"
"48" 369.2412 "P" "A"
"49" 185.05417 "P" "D"
"50" 361.6776 "T" "D"
"51" 275.8804 "A" "D"
"52" 121.87901 "A" "B"
"53" 189.93422 "T" "D"
"54" 225.2463 "P" "D"
"55" 200.2444 "V" "A"
"56" 251.0504 "A" "D"
"57" 452.0206 "U" "D"
"58" 396.134 "U" "B"
"59" 414.8711 "P" "C"
"60" 425.9873 "A" "B"
"61" 468.905 "P" "A"
"62" 439.9685 "P" "D"
"63" 390.1175 "V" "A"
"64" 99.6447 "P" "C"
"65" 355.4128 "T" "D"
"66" 106.99056 "A" "B"
"67" 52.36647 "A" "C"
"68" 127.78855 "T" "A"
"69" 91.28081 "P" "B"
"70" 159.8288 "V" "B"
"71" 186.38353 "A" "B"
"72" 154.17902 "A" "A"
"73" 151.77433 "U" "C"
"74" 321.9687 "U" "D"
